category,ticker,fund_name,current_map,expected,status,confidence
Defined,AAPR US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO APRIL 2028,Buffer,Buffer,OK,HIGH
Defined,ABUF US,APTUS LADDERED BUFFER ETF,Buffer,Ladder,MISMATCH,HIGH
Defined,AIOO US,ALLIANZIM U.S. EQUITY BUFFER100 PROTECTION ETF,Buffer,Buffer,OK,HIGH
Defined,AJAN US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO JANUARY 2028,Buffer,Buffer,OK,HIGH
Defined,AJUL US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO JULY 2026,Buffer,Buffer,OK,HIGH
Defined,AOCT US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO OCTOBER 2026,Buffer,Buffer,OK,HIGH
Defined,APOC US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 6 MO APR/OCT,Buffer,Buffer,OK,HIGH
Defined,APRB US,APTUS APRIL BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,APRH US,INNOVATOR PREMIUM INCOME 20 BARRIER ETF - APRIL,Barrier,Barrier,OK,HIGH
Defined,APRJ US,INNOVATOR PREMIUM INCOME 30 BARRIER ETF - APRIL,Barrier,Barrier,OK,HIGH
Defined,APRP US,PGIM S&P 500 BUFFER 12 ETF - APRIL,Buffer,Buffer,OK,HIGH
Defined,APRT US,ALLIANZIM US EQUITY BUFFER10 APR ETF,Buffer,Buffer,OK,HIGH
Defined,APRW US,ALLIANZIM US EQ BUFFER20 APR,Buffer,Buffer,OK,HIGH
Defined,APRZ US,ELEVATION SERIES TRUST - TRUESHARES STRUCTURED OUTCOME APRIL ETF,Outcome,Outcome,OK,MEDIUM
Defined,APXM US,FT VEST US EQUITY MAX BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
Defined,ARKD US,ARK DIET Q1 BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,ARKI US,ARK DIET Q2 BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,ARKT US,ARK DIET Q4 BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,ARLI US,ALLIANZIM INTERNATIONAL EQUITY BUFFER15 UNCAPPED APR ETF,Buffer,Buffer,OK,HIGH
Defined,ARLU US,ALLIANZIM US EQUITY BUFFER15 UNCAPPED APR ETF,Buffer,Buffer,OK,HIGH
Defined,AUGM US,FT VEST US EQUITY MAX BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
Defined,AUGP US,PGIM S&P 500 BUFFER 12 ETF - AUGUST,Buffer,Buffer,OK,HIGH
Defined,AUGT US,ALLIANZIM US EQUITY BUFFER10 AUG ETF,Buffer,Buffer,OK,HIGH
Defined,AUGU US,ALLIANZIM U.S. EQUITY BUFFER15 UNCAPPED AUG ETF,Buffer,Buffer,OK,HIGH
Defined,AUGW US,ALLIANZIM US EQ BUFFER20 AUG,Buffer,Buffer,OK,HIGH
Defined,AUGZ US,TRUESHARES STRUCTURED OUTCOME AUGUST ETF,Outcome,Outcome,OK,MEDIUM
Defined,BALT US,INNOVATOR DEFINED WEALTH SHIELD ETF,Buffer,Buffer,OK,MEDIUM
Defined,BAPR US,INNOVATOR U.S. EQUITY BUFFER ETF APRIL,Buffer,Buffer,OK,HIGH
Defined,BAUG US,INNOVATOR U.S. EQUITY BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
Defined,BDEC US,INNOVATOR U.S. EQUITY BUFFER ETF -DECEMBER,Buffer,Buffer,OK,HIGH
Defined,BFAP US,FT VEST BITCOIN STRATEGY FLOOR15 ETF - APRIL,Floor,,UNCLEAR,LOW
Defined,BFEB US,INNOVATOR U.S. EQUITY BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
Defined,BFJA US,FT VEST BITCOIN STRATEGY FLOOR15 ETF - JANUARY,Floor,,UNCLEAR,LOW
Defined,BFJL US,FT VEST BITCOIN STRATEGY FLOOR15 ETF - JULY,Floor,,UNCLEAR,LOW
Defined,BFLB US,BUFFERLABS US EQUITY DYNAMIC BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,BFOC US,FT VEST BITCOIN STRATEGY FLOOR15 ETF - OCTOBER,Floor,,UNCLEAR,LOW
Defined,BFRZ US,INNOVATOR EQUITY MANAGED 100 BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,BGLD US,FT VEST GOLD STRATEGY QUARTERLY BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,BJAN US,INNOVATOR U.S. EQUITY BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
Defined,BJUL US,INNOVATOR U.S. EQUITY BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
Defined,BJUN US,INNOVATOR U.S. EQUITY BUFFER ETF - JUNE,Buffer,Buffer,OK,HIGH
Defined,BMAR US,INNOVATOR U.S. EQUITY BUFFER ETF - MARCH,Buffer,Buffer,OK,HIGH
Defined,BMAY US,INNOVATOR U.S. EQUITY BUFFER ETF - MAY,Buffer,Buffer,OK,HIGH
Defined,BNOV US,INNOVATOR U.S. EQUITY BUFFER ETF - NOVEMBER,Buffer,Buffer,OK,HIGH
Defined,BOCT US,INNOVATOR U.S. EQUITY BUFFER ETF - OCTOBER,Buffer,Buffer,OK,HIGH
Defined,BSEP US,INNOVATOR U.S. EQUITY BUFFER ETF - SEPTEMBER,Buffer,Buffer,OK,HIGH
Defined,BSTP US,INNOVATOR BUFFER STEP-UP STRATEGY ETF,Buffer,Buffer,OK,HIGH
Defined,BUFB US,INNOVATOR LADDERED ALLOCATION BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,BUFC US,AB CONSERVATIVE BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,BUFD US,FT VEST LADDERED DEEP BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,BUFF US,INNOVATOR LADDERED ALLOCATION POWER BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,BUFG US,FT VEST BUFFERED ALLOCATION GROWTH ETF,Buffer,,UNCLEAR,LOW
Defined,BUFH US,FT VEST LADDERED MAX BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,BUFI US,AB INTERNATIONAL BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,BUFM US,AB MODERATE BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,BUFP US,PGIM LADDERED S&P 500 BUFFER 12 ETF,Ladder,Ladder,OK,HIGH
Defined,BUFQ US,FT VEST LADDERED NASDAQ BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,BUFR US,FT VEST LADDERED BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,BUFS US,FT VEST LADDERED SMALL CAP MODERATE BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,BUFT US,FT VEST BUFFERED ALLOCATION DEFENSIVE ETF,Buffer,,UNCLEAR,LOW
Defined,BUFX US,FT VEST LADDERED ENHANCE & MODERATE BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,BUFY US,FT VEST LADDERED INTERNATIONAL MODERATE BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,BUFZ US,FT VEST LADDERED MODERATE BUFFER ETF,Ladder,Ladder,OK,HIGH
Defined,CBOA US,CALAMOS BITCOIN STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
Defined,CBOJ US,CALAMOS BITCOIN STRUCTURED ALT PROTECTION ETF - JANUARY,Buffer,,UNCLEAR,LOW
Defined,CBOL US,CALAMOS LADDERED BITCOIN STRUCTURED ALT PROTECTION ETF,Ladder,Ladder,OK,HIGH
Defined,CBOO US,CALAMOS BITCOIN STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
Defined,CBOY US,CALAMOS BITCOIN STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
Defined,CBTA US,CALAMOS BITCOIN 80 SERIES STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
Defined,CBTJ US,CALAMOS BITCOIN 80% PROTECTION STRATEGY ETF - JANUARY,Buffer,,UNCLEAR,LOW
Defined,CBTL US,CALAMOS LADDERED BITCOIN 80 SERIES STRUCTURED ALT PROTECTION ETF,Ladder,Ladder,OK,HIGH
Defined,CBTO US,CALAMOS BITCOIN 80 SERIES STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
Defined,CBTY US,CALAMOS BITCOIN 80 SERIES STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
Defined,CBXA US,CALAMOS BITCOIN 90 SERIES STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
Defined,CBXJ US,CALAMOS BITCOIN 90% PROTECTION STRATEGY ETF - JANUARY,Buffer,,UNCLEAR,LOW
Defined,CBXL US,CALAMOS LADDERED BITCOIN 90 SERIES STRUCTURED ALT PROTECTION ETF,Ladder,Ladder,OK,HIGH
Defined,CBXO US,CALAMOS BITCOIN 90 SERIES STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
Defined,CBXY US,CALAMOS BITCOIN 90 SERIES STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
Defined,CPNJ US,CALAMOS NASDAQ - 100 STRUCTURED ALT PROTECTION ETF - JUNE,Buffer,,UNCLEAR,LOW
Defined,CPNM US,CALAMOS NASDAQ 100 STRUCTURED ALT PROTECTION ETF - MARCH,Buffer,,UNCLEAR,LOW
Defined,CPNQ US,CALAMOS NASDAQ 100 STRUCTURED ALT PROTECTION ETF - DECEMBER,Buffer,,UNCLEAR,LOW
Defined,CPNS US,CALAMOS NASDAQ - 100 STRUCTURED ALT PROTECTION ETF - SEPTEMBER,Buffer,,UNCLEAR,LOW
Defined,CPRA US,CALAMOS RUSSELL 2000 STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
Defined,CPRJ US,CALAMOS RUSSELL 2000 STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
Defined,CPRO US,CALAMOS RUSSELL 2000 STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
Defined,CPRY US,CALAMOS RUSSELL 2000 STRUCTURED ALT PROTECTION ETF - JANUARY,Buffer,,UNCLEAR,LOW
Defined,CPSA US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - AUGUST,Buffer,,UNCLEAR,LOW
Defined,CPSD US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - DECEMBER,Buffer,,UNCLEAR,LOW
Defined,CPSF US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - FEBRUARY,Buffer,,UNCLEAR,LOW
Defined,CPSJ US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
Defined,CPSL US,CALAMOS LADDERED S&P 500 STRUCTURED ALT PROTECTION ETF,Ladder,Ladder,OK,HIGH
Defined,CPSM US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - MAY,Buffer,,UNCLEAR,LOW
Defined,CPSN US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - NOVEMBER,Buffer,,UNCLEAR,LOW
Defined,CPSO US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
Defined,CPSP US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
Defined,CPSR US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - MARCH,Buffer,,UNCLEAR,LOW
Defined,CPST US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - SEPTEMBER,Buffer,,UNCLEAR,LOW
Defined,CPSU US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - JUNE,Buffer,,UNCLEAR,LOW
Defined,CPSY US,CALAMOS S&P 500 STRUCTURED ALT PROTECTION ETF - JANUARY,Buffer,,UNCLEAR,LOW
Defined,DAPR US,FT VEST U.S. EQUITY DEEP BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
Defined,DAUG US,FT VEST U.S. EQUITY DEEP BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
Defined,DDEC US,FT VEST US EQUITY DEEP BUFFER ETF - DECEMBER,Buffer,Buffer,OK,HIGH
Defined,DDFA US,INNOVATOR EQUITY DUAL DIRECTIONAL 15 BUFFER ETF - APRIL,Buffer,Dual Buffer,MISMATCH,HIGH
Defined,DDFD US,INNOVATOR EQUITY DUAL DIRECTIONAL 15 BUFFER ETF - DECEMBER,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDFF US,INNOVATOR EQUITY DUAL DIRECTIONAL 15 BUFFER ETF - FEBRUARY,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDFJ US,INNOVATOR EQUITY DUAL DIRECTIONAL 15 BUFFER ETF - JANUARY,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDFL US,INNOVATOR EQUITY DUAL DIRECTIONAL 15 BUFFER ETF - JULY,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDFM US,INNOVATOR EQUITY DUAL DIRECTIONAL 15 BUFFER ETF - MARCH,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDFN US,INNOVATOR EQUITY DUAL DIRECTIONAL 15 BUFFER ETF - NOVEMBER,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDFO US,INNOVATOR EQUITY DUAL DIRECTIONAL 15 BUFFER ETF - OCTOBER,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDFS US,INNOVATOR EQUITY DUAL DIRECTIONAL 15 BUFFER ETF - SEPTEMBER,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDNQ US,INNOVATOR GROWTH-100 DUAL DIRECTIONAL 5 BUFFER ETF - QUARTERLY,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDSQ US,INNOVATOR EQUITY DUAL DIRECTIONAL 5 BUFFER ETF - QUARTERLY,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDTA US,INNOVATOR EQUITY DUAL DIRECTIONAL 10 BUFFER ETF - APRIL,Buffer,Dual Buffer,MISMATCH,HIGH
Defined,DDTD US,INNOVATOR EQUITY DUAL DIRECTIONAL 10 BUFFER ETF - DECEMBER,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDTF US,INNOVATOR EQUITY DUAL DIRECTIONAL 10 BUFFER ETF - FEBRUARY,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDTJ US,INNOVATOR EQUITY DUAL DIRECTIONAL 10 BUFFER ETF - JANUARY,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDTL US,INNOVATOR EQUITY DUAL DIRECTIONAL 10 BUFFER ETF - JULY,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDTM US,INNOVATOR EQUITY DUAL DIRECTIONAL 10 BUFFER ETF - MARCH,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDTN US,INNOVATOR EQUITY DUAL DIRECTIONAL 10 BUFFER ETF - NOVEMBER,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDTO US,INNOVATOR EQUITY DUAL DIRECTIONAL 10 BUFFER ETF - OCTOBER,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DDTS US,INNOVATOR EQUITY DUAL DIRECTIONAL 10 BUFFER ETF - SEPTEMBER,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DECM US,FT VEST US EQUITY MAX BUFFER ETF - DECEMBER,Buffer,Buffer,OK,HIGH
Defined,DECP US,PGIM S&P 500 BUFFER 12 ETF - DECEMBER,Buffer,Buffer,OK,HIGH
Defined,DECT US,ALLIANZIM US EQUITY BUFFER10 DEC ETF,Buffer,Buffer,OK,HIGH
Defined,DECU US,ALLIANZIM US EQUITY BUFFER15 UNCAPPED DEC ETF,Buffer,Buffer,OK,HIGH
Defined,DECW US,ALLIANZIM US EQ BUFFER20 DEC,Buffer,Buffer,OK,HIGH
Defined,DECZ US,ELEVATION SERIES TRUST - TRUESHARES STRUCTURED OUTCOME DECEMBER ETF,Outcome,Outcome,OK,MEDIUM
Defined,DFEB US,FT VEST US EQUITY DEEP BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
Defined,DGJA US,FT VEST US EQUITY BUFFER & DIGITAL RETURN ETF - JANUARY,Buffer,Buffer,OK,HIGH
Defined,DGOC US,FT VEST US EQUITY BUFFER & DIGITAL RETURN ETF - OCTOBER,Buffer,Buffer,OK,HIGH
Defined,DHDG US,FT VEST US EQUITY QUARTERLY 2.5 TO 15 BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,DHSB US,DAY HAGAN SMART BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,DJAN US,FT VEST U.S. EQUITY DEEP BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
Defined,DJUL US,FT VEST US EQUITY DEEP BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
Defined,DJUN US,FT VEST US EQUITY DEEP BUFFER ETF - JUNE,Buffer,Buffer,OK,HIGH
Defined,DLAG US,FT VEST US EQUITY DUAL DIRECTIONAL BUFFER ETF - AUGUST,Buffer,Dual Buffer,MISMATCH,HIGH
Defined,DLFE US,FT VEST US EQUITY DUAL DIRECTIONAL BUFFER ETF - FEBRUARY,Dual Buffer,Dual Buffer,OK,HIGH
Defined,DLNV US,FT VEST US EQUITY DUAL DIRECTIONAL BUFFER ETF - NOVEMBER,Buffer,Dual Buffer,MISMATCH,HIGH
Defined,DMAR US,FT VEST US EQUITY DEEP BUFFER ETF - MARCH,Buffer,Buffer,OK,HIGH
Defined,DMAX US,ISHARES LARGE CAP MAX BUFFER DEC ETF,Buffer,Buffer,OK,HIGH
Defined,DMAY US,FT VEST US EQUITY DEEP BUFFER ETF - MAY,Buffer,Buffer,OK,HIGH
Defined,DNOV US,FT VEST US EQUITY DEEP BUFFER ETF - NOVEMBER,Buffer,Buffer,OK,HIGH
Defined,DOCT US,FT VEST US EQUITY DEEP BUFFER ETF - OCTOBER,Buffer,Buffer,OK,HIGH
Defined,DRSK US,APTUS DEFINED RISK ETF,Defined Risk,Defined Risk,OK,HIGH
Defined,DSEP US,FT VEST US EQUITY DEEP BUFFER ETF - SEPTEMBER,Buffer,Buffer,OK,HIGH
Defined,DVIN US,WEBS INDUSTRIALS XLI DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVQQ US,WEBS QQQ DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVRE US,WEBS REAL ESTATE XLRE DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVSP US,WEBS SPY DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVUT US,WEBS UTILITIES XLU DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVXB US,WEBS MATERIALS XLB DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVXC US,WEBS COMMUNICATION SERVICES XLC DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVXE US,WEBS ENERGY XLE DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVXF US,WEBS FINANCIAL XLF DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVXK US,WEBS TECHNOLOGY XLK DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVXP US,WEBS CONSUMER STAPLES XLP DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVXV US,WEBS HEALTH CARE XLV DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,DVXY US,WEBS CONSUMER DISCRETIONARY XLY DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,HIGH
Defined,EALT US,INNOVATOR US EQUITY 5 TO 15 BUFFER ETF-QUARTERLY,Buffer,Buffer,OK,HIGH
Defined,EAPR US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
Defined,EBUF US,INNOVATOR EMERGING MARKETS 10 BUFFER ETF - QUARTERLY,Buffer,Buffer,OK,HIGH
Defined,EJAN US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
Defined,EJUL US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
Defined,EOCT US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF-OCTOBER,Buffer,Buffer,OK,HIGH
Defined,FAPR US,FT VEST US EQUITY BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
Defined,FAUG US,FT VEST US EQUITY BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
Defined,FB US,PROSHARES S&P 500 DYNAMIC BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,FBUF US,FIDELITY DYNAMIC BUFFERED EQUITY ETF,Buffer,,UNCLEAR,LOW
Defined,FDEC US,FT VEST US EQUITY BUFFER ETF - DECEMBER,Buffer,Buffer,OK,HIGH
Defined,FEBM US,FT VEST US EQUITY MAX BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
Defined,FEBP US,PGIM S&P 500 BUFFER 12 ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
Defined,FEBT US,ALLIANZIM US EQUITY BUFFER10 FEB ETF,Buffer,Buffer,OK,HIGH
Defined,FEBU US,ALLIANZIM US EQUITY BUFFER15 UNCAPPED FEB ETF,Buffer,Buffer,OK,HIGH
Defined,FEBW US,ALLIANZIM US EQ BUFFER20 FEB,Buffer,Buffer,OK,HIGH
Defined,FEBZ US,ELEVATION SERIES TRUST - TRUESHARES STRUCTURED OUTCOME FEBRUARY ETF,Outcome,Outcome,OK,MEDIUM
Defined,FFEB US,FT VEST US EQUITY BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
Defined,FHDG US,FT VEST US EQUITY QUARTERLY DYNAMIC BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,FHEQ US,FIDELITY HEDGED EQUITY ETF,Hedged Equity,Hedged Equity,OK,HIGH
Defined,FJAN US,FT VEST U.S. EQUITY BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
Defined,FJUL US,FT VEST US EQUITY BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
Defined,FJUN US,FT VEST US EQUITY BUFFER ETF - JUNE,Buffer,Buffer,OK,HIGH
Defined,FLAO US,ALLIANZIM US EQUITY 6 MONTH FLOOR5 APR/OCT ETF,Floor,,UNCLEAR,LOW
Defined,FLJJ US,ALLIANZIM US EQUITY 6 MONTH FLOOR5 JAN/JUL ETF,Floor,,UNCLEAR,LOW
Defined,FMAR US,FT VEST US EQUITY BUFFER ETF - MARCH,Buffer,Buffer,OK,HIGH
Defined,FMAY US,FT VEST US EQUITY BUFFER ETF - MAY,Buffer,Buffer,OK,HIGH
Defined,FNOV US,FT VEST US EQUITY BUFFER ETF - NOVEMBER,Buffer,Buffer,OK,HIGH
Defined,FOCT US,FT VEST US EQUITY BUFFER ETF - OCTOBER,Buffer,Buffer,OK,HIGH
Defined,FSEP US,FT VEST US EQUITY BUFFER ETF - SEPTEMBER,Buffer,Buffer,OK,HIGH
Defined,GAPR US,FT VEST US EQUITY MODERATE BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
Defined,GAUG US,FT VEST US EQUITY MODERATE BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
Defined,GDEC US,FT VEST US EQUITY MODERATE BUFFER ETF - DECEMBER,Buffer,Buffer,OK,HIGH
Defined,GFEB US,FT VEST US EQUITY MODERATE BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
Defined,GJAN US,FT VEST US EQUITY MODERATE BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
Defined,GJUL US,FT VEST US EQUITY MODERATE BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
Defined,GJUN US,FT VEST US EQUITY MODERATE BUFFER ETF - JUNE,Buffer,Buffer,OK,HIGH
Defined,GMAR US,FT VEST US EQUITY MODERATE BUFFER ETF - MARCH,Buffer,Buffer,OK,HIGH
Defined,GMAY US,FT VEST US EQUITY MODERATE BUFFER ETF - MAY,Buffer,Buffer,OK,HIGH
Defined,GNOV US,FT VEST US EQUITY MODERATE BUFFER ETF - NOVEMBER,Buffer,Buffer,OK,HIGH
Defined,GOCT US,FT VEST US EQUITY MODERATE BUFFER ETF - OCTOBER,Buffer,Buffer,OK,HIGH
Defined,GSEP US,FT VEST US EQUITY MODERATE BUFFER ETF - SEPTEMBER,Buffer,Buffer,OK,HIGH
Defined,HELO US,JPMORGAN HEDGED EQUITY LADDERED OVERLAY ETF,Ladder,Ladder,OK,HIGH
Defined,HEQQ US,JPMORGAN NASDAQ HEDGED EQUITY LADDERED OVERLAY ETF,Ladder,Ladder,OK,HIGH
Defined,HOLA US,JPMORGAN INTERNATIONAL HEDGED EQUITY LADDERED OVERLAY ETF,Ladder,Ladder,OK,HIGH
Defined,IAPR US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
Defined,IAUG US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
Defined,IBUF US,INNOVATOR INTERNATIONAL DEVELOPED 10 BUFFER ETF - QUARTERLY,Buffer,Buffer,OK,HIGH
Defined,IDEC US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - DECEMBER,Buffer,Buffer,OK,HIGH
Defined,IFEB US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
Defined,IFLR US,INNOVATOR INTERNATIONAL DEVELOPED MANAGED FLOOR ETF,Floor,Floor,OK,HIGH
